Rank,Shirt Number,Name,Team,Digs,Faults,Receptions,Total Attempts,Average Per Set
1,9,Santiago Danani,ARG,143,57,45,245,2.42
2,11,Fabio Balaso,ITA,121,35,41,197,2.16
3,11,Luke Perry,AUS,122,46,44,212,2.14
4,10,Julian Zenger,GER,126,41,61,228,1.97
5,2,Jenia Grebennikov,FRA,118,27,39,184,1.87
6,8,Mohammadreza Hazratpourtalatappeh,IRI,105,32,42,179,1.69
7,27,Valentin Golubev,RUS,114,47,28,189,1.68
8,22,Tomohiro Yamamoto,JPN,94,23,57,174,1.59
9,4,Mir Saeid Marouflakrani,IRI,86,37,47,170,1.39
10,22,Maique Reis Nascimento,BRA,103,38,25,166,1.34
11,5,Gil Pereira,POR,68,37,27,132,1.31
12,2,Milad Ebadipour Ghara H.,IRI,78,25,40,143,1.26
13,6,Nikola Pekovic,SRB,79,38,32,149,1.23
14,22,Erik Shoji,USA,88,29,44,161,1.22
15,19,Blair Cameron Bann,CAN,68,25,30,123,1.17
16,21,Brett James Walsh,CAN,66,36,31,133,1.14
17,10,Amir Ghafour,IRI,70,24,29,123,1.13
18,16,Jiahua Tong,CHN,57,27,22,106,1.12
19,3,Steven Marshall,CAN,63,38,25,126,1.09
20,7,Facundo Conte,ARG,64,15,36,115,1.08
21,7,Purya Fayazi D.,IRI,66,16,33,115,1.06
22,6,Simone Giannelli,ITA,59,20,20,99,1.05
23,6,Alexandre Ferreira,POR,53,15,29,97,1.02
24,7,Kevin Tillie,FRA,64,15,15,94,1.02
25,3,Ruben Schott,GER,63,16,29,108,0.98
26,11,Yuji Nishida,JPN,58,20,25,103,0.98
27,18,Ricardo Lucarelli Souza,BRA,73,30,39,142,0.95
28,14,Yuki Ishikawa,JPN,55,23,30,108,0.93
29,15,Luke Smith,AUS,53,14,24,91,0.93
30,17,Jan Zimmermann,GER,59,40,25,124,0.92
31,12,Masahiro Sekita,JPN,54,25,32,111,0.92
32,7,Stephen Timothy Maar,CAN,53,18,32,103,0.91
33,8,Wallace De Souza,BRA,70,24,31,125,0.91
34,12,Bruno Lima,ARG,52,24,22,98,0.88
35,18,Garrett Muagututia,USA,62,26,37,125,0.86
36,2,John Gordon Perrin,CAN,49,16,16,81,0.84
37,9,Yoandy Leal Hidalgo,BRA,65,12,23,100,0.84
38,15,Miguel Tavares Rodrigues,POR,43,19,28,90,0.83
39,16,Oleg Antonov,ITA,46,20,22,88,0.82
40,4,Thales Hoss,BRA,61,18,30,109,0.79
41,23,Jakub Popiwczak,POL,62,29,23,114,0.78
42,5,Lazar Cirovic,SRB,50,22,30,102,0.78
43,2,Arshdeep Dosanjh,AUS,44,26,27,97,0.77
44,22,Oreste Cavuto,ITA,43,15,18,76,0.77
45,24,Igor Kobzar,RUS,52,14,24,90,0.76
46,6,Rozalin Penchev,BUL,45,15,29,89,0.76
47,7,Marco Evan Baptista Ferreira,POR,39,28,21,88,0.75
48,18,Egor Kliuka,RUS,51,10,28,89,0.75
49,18,Bartosz Kwolek,POL,57,25,44,126,0.72
50,11,Haixiang Du,CHN,36,10,23,69,0.71
51,17,Libin Liu,CHN,36,25,20,81,0.71
52,20,Nicolas Rossard,FRA,44,21,32,97,0.7
53,10,Damian Wojtaszek,POL,55,27,24,106,0.7
54,21,Petar Karakashev,BUL,40,24,14,78,0.68
55,15,Victor Poletaev,RUS,45,14,13,72,0.66
56,4,Nicholas Hoag,CAN,38,16,19,73,0.66
57,6,Fernando Gil Kreling,BRA,49,24,40,113,0.64
58,5,Nicolas Uriarte,ARG,37,10,16,63,0.63
59,1,Christian Fromm,GER,40,21,31,92,0.63
60,11,Antoine Brizard,FRA,39,23,34,96,0.62
61,12,Stephen Boyer,FRA,39,10,18,67,0.62
62,18,Lincoln Alexander Williams,AUS,35,16,15,66,0.61
63,9,Georgi Seganov,BUL,36,24,24,84,0.61
64,19,Daniele Lavia,ITA,34,14,30,78,0.61
65,16,Ryan Joseph Sclater,CAN,35,10,18,63,0.6
66,5,Moritz Reichert,GER,38,19,27,84,0.59
67,13,Ezequiel Palacios,ARG,35,22,23,80,0.59
68,15,Luciano De Cecco,ARG,35,5,15,55,0.59
69,7,Dmitry Volkov,RUS,40,13,15,68,0.59
70,24,Giulio Pinali,ITA,32,21,17,70,0.57
71,9,Yaochen Yu,CHN,29,34,20,83,0.57
72,1,Bruno Mossa Rezende,BRA,43,18,15,76,0.56
73,4,Jean Patry,FRA,35,21,23,79,0.56
74,20,Gabriele Nelli,ITA,31,17,13,61,0.55
75,13,Naoya Takano,JPN,32,9,13,54,0.54
76,8,Tiago Da Silva Violas,POR,28,19,14,61,0.54
77,14,Douglas Correia De Souza,BRA,41,4,13,58,0.53
78,3,Taylor Sander,USA,38,14,23,75,0.53
79,13,Benjamin Patch,USA,38,14,19,71,0.53
80,19,Tsvetan Sokolov,BUL,31,15,17,63,0.53
81,13,Simon Hirsch,GER,33,19,14,66,0.52
82,13,Samuel Walker,AUS,29,15,24,68,0.51
83,5,Tatsuya Fukuzawa,JPN,30,15,26,71,0.51
84,4,Marcin Komenda,POL,40,25,16,81,0.51
85,14,Aleksander Sliwka,POL,40,18,17,75,0.51
86,10,Miran Kujundžić,SRB,32,9,14,55,0.5
87,2,Chuan Jiang,CHN,25,24,19,68,0.49
88,8,Torey Defalco,USA,35,10,27,72,0.49
89,6,Benjamin Toniutti,FRA,30,11,12,53,0.48
90,3,Jan Martinez Franchi,ARG,28,4,10,42,0.47
91,6,Cristian Poglajen,ARG,28,12,19,59,0.47
92,20,Taishi Onodera,JPN,28,15,27,70,0.47
93,10,Taichiro Koga,JPN,27,13,10,50,0.46
94,21,Alan Souza,BRA,35,12,13,60,0.45
95,18,Thibault Rossard,FRA,28,9,18,55,0.44
96,11,Micah Christenson,USA,32,18,22,72,0.44
97,24,Kyle Dagostino,USA,32,5,11,48,0.44
98,3,Dmitry Kovalev,RUS,30,12,9,51,0.44
99,3,Milan Katic,SRB,28,22,9,59,0.44
100,10,Sharone Vernon-Evans,CAN,25,16,11,52,0.43
101,22,Bartosz Bednorz,POL,34,23,19,76,0.43
102,8,Masahiro Yanagida,JPN,25,7,16,48,0.42
103,9,Jason Derocco,CAN,24,15,22,61,0.41
104,8,Julien Lyneel,FRA,26,4,10,40,0.41
105,10,Fedor Voronkov,RUS,28,12,10,50,0.41
106,12,Lourenco Martins,POR,21,17,16,54,0.4
107,6,Seyed Mohammad Mousavi Eraghi,IRI,25,6,16,47,0.4
108,17,Trevor Clevenot,FRA,25,11,19,55,0.4
109,19,Yacine Louati,FRA,25,7,14,46,0.4
110,18,Nicola Pesaresi,ITA,22,6,16,44,0.39
111,17,Nikolay Penchev,BUL,23,8,10,41,0.39
112,17,Graham Vigrass,CAN,22,7,11,40,0.38
113,15,Roberto Russo,ITA,21,14,20,55,0.38
114,14,Micah Ma'a,USA,27,13,17,57,0.38
115,7,Nikolay Uchikov,BUL,22,13,14,49,0.37
116,8,Todor Skrimov,BUL,22,11,8,41,0.37
117,1,Issei Otake,JPN,22,8,13,43,0.37
118,13,Longhai Chen,CHN,19,8,10,37,0.37
119,16,Ali Shafiei,IRI,23,7,21,51,0.37
120,2,Maciej Muzaj,POL,29,17,9,55,0.37
121,5,Lukasz Kaczmarek,POL,29,13,16,58,0.37
122,7,Petar Krsmanovic,SRB,23,9,19,51,0.36
123,11,Sebastian Solé,ARG,21,9,21,51,0.36
124,3,Dawid Konarski,POL,28,11,14,53,0.35
125,1,Qingyao Dai,CHN,18,24,19,61,0.35
126,20,Shuhan Rao,CHN,18,13,14,45,0.35
127,27,Xiaoteng Ma,CHN,18,13,20,51,0.35
128,1,Aleksandar Okolic,SRB,22,6,13,41,0.34
129,20,David Smith,USA,24,8,13,45,0.33
130,17,Pawel Zatorski,POL,26,14,12,52,0.33
131,5,Svetoslav Gotsev,BUL,19,9,22,50,0.32
132,16,Vladislav Ivanov,BUL,19,9,14,42,0.32
133,9,Max Staples,AUS,18,4,14,36,0.32
134,21,Vuk Todorovic,SRB,20,15,15,50,0.31
135,14,Yaroslav Podlesnykh,RUS,21,10,5,36,0.31
136,17,Joao Fidalgo,POR,16,18,15,49,0.31
137,17,Nicolas Mendez,ARG,18,5,14,37,0.31
138,4,Martin Atanasov,BUL,18,6,14,38,0.31
139,19,Marcin Janusz,POL,24,14,9,47,0.3
140,20,Porya Yali,IRI,18,8,11,37,0.29
141,13,Caique Oswaldo Ferreira Da Silva,POR,15,12,10,37,0.29
142,19,Mauricio Borges Almeida Silva,BRA,22,1,8,31,0.29
143,2,Riccardo Sbertoli,ITA,16,18,16,50,0.29
144,10,Jordan Richards,AUS,16,9,14,39,0.28
145,12,Grzegorz Lomacz,POL,22,6,15,43,0.28
146,17,Simone Anzani,ITA,15,4,10,29,0.27
147,4,Denis Zemchenok,RUS,18,14,11,43,0.26
148,8,Trent O'dea,AUS,15,11,21,47,0.26
149,19,Guojun Zhan,CHN,13,13,7,33,0.25
150,2,Federico Pereyra,ARG,15,7,9,31,0.25
151,13,Teodor Salparov,BUL,15,4,7,26,0.25
152,23,Martin Ivanov,BUL,15,4,5,24,0.25
153,21,Tomasz Fornal,POL,20,8,16,44,0.25
154,12,Dusan Petkovic,SRB,16,12,10,38,0.25
155,23,Bozidar Vucicevic,SRB,16,9,8,33,0.25
156,15,Aliasghar Mojarad,IRI,15,6,4,25,0.24
157,27,Piotr Łukasik,POL,19,7,8,34,0.24
158,99,Norbert Huber,POL,19,5,11,35,0.24
159,21,Barthélémy Chinenyeze,FRA,15,7,20,42,0.24
160,1,Georgi Bratoev,BUL,14,10,10,34,0.24
161,3,Naonobu Fujii,JPN,14,7,14,35,0.24
162,6,Akihiro Yamauchi,JPN,14,9,9,32,0.24
163,15,Haku Ri,JPN,14,7,10,31,0.24
164,1,Matthew Anderson,USA,17,11,5,33,0.24
165,5,Kyle Ensing,USA,17,8,9,34,0.24
166,7,David Sossenheimer,GER,15,7,11,33,0.23
167,16,Tomas Kocian-Falkenbach,GER,15,8,6,29,0.23
168,16,Drazen Luburic,SRB,15,5,7,27,0.23
169,16,Lucas Saatkamp,BRA,18,6,13,37,0.23
170,4,Filip Cveticanin,POR,12,6,18,36,0.23
171,9,Joao Simoes,POR,12,7,12,31,0.23
172,10,Phelipe Martins,POR,12,2,14,28,0.23
173,20,Ilyas Kurkaev,RUS,15,6,13,34,0.22
174,4,Maximiliano Cavanna,ARG,13,9,4,26,0.22
175,18,Martin Ramos,ARG,13,7,12,32,0.22
176,3,Tianyi Mao,CHN,11,7,7,25,0.22
177,5,Farhad Ghaemi,IRI,13,2,10,25,0.21
178,14,Mohammadjavad Manavinezhad,IRI,13,3,4,20,0.21
179,7,Kawika Shoji,USA,15,4,7,26,0.21
180,22,Roman Martynyuk,RUS,14,15,9,38,0.21
181,2,Hideomi Fukatsu,JPN,12,5,11,28,0.2
182,12,Anton Brehme,GER,13,3,18,34,0.2
183,8,Marko Ivovic,SRB,13,4,9,26,0.2
184,10,Daoshuai Ji,CHN,10,11,7,28,0.2
185,2,Isac Santos,BRA,15,7,6,28,0.19
186,7,Harrison Peacock,AUS,11,11,9,31,0.19
187,11,Bruno Cunha,POR,10,10,4,24,0.19
188,10,Kevin Le Roux,FRA,12,3,10,25,0.19
189,9,Nikola Jovovic,SRB,12,17,14,43,0.19
190,11,Aleksa Batak,SRB,12,4,5,21,0.19
191,4,Jeffrey Jendryk Ii,USA,13,4,8,25,0.18
192,25,Kyle Russell,USA,13,3,12,28,0.18
193,77,Karol Klos,POL,14,6,10,30,0.18
194,2,Tobias Krick,GER,11,1,14,26,0.17
195,13,Stevan Simic,SRB,11,4,5,20,0.17
196,24,David Mehic,SRB,11,12,12,35,0.17
197,13,Mauricio Luiz De Souza,BRA,13,9,13,35,0.17
198,12,Maxwell Holt,USA,12,2,11,25,0.17
199,17,Thomas Jaeschke,USA,12,6,6,24,0.17
200,15,Jakub Kochanowski,POL,13,1,13,27,0.16
201,22,Curtis Jeffrey Arthur Stockton,AUS,9,9,8,26,0.16
202,8,Agustin Loser,ARG,9,10,9,28,0.15
203,14,Pablo Crer,ARG,9,3,6,18,0.15
204,20,Aleks Grozdanov,BUL,9,1,8,18,0.15
205,11,Igor Philippov,RUS,10,6,9,25,0.15
206,19,Mohammadreza Moazzen,IRI,9,2,6,17,0.15
207,23,Flavio Gualberto,BRA,11,7,7,25,0.14
208,5,Raphaël Corre,FRA,9,5,8,22,0.14
209,1,Beau Graham,AUS,8,10,9,27,0.14
210,23,James Weir,AUS,8,8,9,25,0.14
211,13,Michal Kubiak,POL,11,4,10,25,0.14
212,11,Fabian Drzyzga,POL,10,17,10,37,0.13
213,8,Marcus Böhme,GER,8,1,6,15,0.13
214,11,Lukas Kampa,GER,8,2,5,15,0.13
215,21,Alberto Polo,ITA,7,3,4,14,0.13
216,16,Joshua Tuaniga,USA,9,6,3,18,0.13
217,24,Elliott Viles,AUS,7,5,1,13,0.12
218,8,Jingyi Wang,CHN,6,10,10,26,0.12
219,25,Jiajie Chen,CHN,6,3,5,14,0.12
220,9,Ivan Iakovlev,RUS,8,6,7,21,0.12
221,14,Nicolas Le Goff,FRA,7,4,6,17,0.11
222,16,Daryl Bultor,FRA,7,2,3,12,0.11
223,23,Timothée Carle,FRA,7,5,11,23,0.11
224,21,Dustin Watten,USA,8,2,7,17,0.11
225,17,Neven Majstorovic,SRB,7,14,13,34,0.11
226,1,Davide Candellaro,ITA,6,1,5,12,0.11
227,12,Lucas Van Berkel,CAN,6,6,9,21,0.1
228,8,Anton Semyshev,RUS,7,4,2,13,0.1
229,2,Krasimir Georgiev,BUL,6,1,11,18,0.1
230,11,Velizar Chernokozhev,BUL,6,2,4,12,0.1
231,14,Teodor Todorov,BUL,6,2,0,8,0.1
232,12,Zhejia Zhang,CHN,5,3,3,11,0.1
233,23,Larry Tuileta Jr.,USA,7,3,3,13,0.1
234,1,Jonas Aguenier,FRA,6,2,6,14,0.1
235,9,Earvin Ngapeth,FRA,6,3,5,14,0.1
236,4,Nemanja Petric,SRB,6,6,5,17,0.09
237,20,Srecko Lisinac,SRB,6,8,11,25,0.09
238,12,Nehemiah Mote,AUS,5,3,2,10,0.09
239,20,Arthur Szwarc,CAN,5,8,10,23,0.09
240,10,Valentin Bratoev,BUL,5,2,3,10,0.08
241,12,Viktor Yosifov,BUL,5,2,4,11,0.08
242,17,Tsubasa Hisahara,JPN,5,2,3,10,0.08
243,24,Javad Karimisouchelmaei,IRI,5,1,1,7,0.08
244,22,Andrija Vilimanovic,SRB,5,5,7,17,0.08
245,7,Artur Szalpuk,POL,6,14,7,27,0.08
246,20,Mateusz Bieniek,POL,6,5,9,20,0.08
247,14,Matteo Piano,ITA,4,3,7,14,0.07
248,2,Aaron Russell,USA,5,6,3,14,0.07
249,20,Thiago Pontes Veloso,BRA,5,2,1,8,0.06
250,19,Daniel Malescha,GER,4,5,1,10,0.06
251,3,Nuno Teixeira,POR,3,2,4,9,0.06
252,9,Jake Langlois,USA,4,3,4,11,0.06
253,8,Daniele Mazzone,ITA,3,0,7,10,0.05
254,14,Eric Loeppky,CAN,3,2,3,8,0.05
255,8,Jedrzej Gruszczynski,POL,4,2,5,11,0.05
256,15,Noah Baxpöhler,GER,3,6,9,18,0.05
257,18,Jakob Günthör,GER,3,0,2,5,0.05
258,29,Kirill Ursov,RUS,3,1,1,5,0.04
259,6,Mitchell Stahl,USA,3,5,9,17,0.04
260,30,George Huhmann,USA,3,0,1,4,0.04
261,21,Ruantong Miao,CHN,2,1,2,5,0.04
