Rank,Shirt Number,Name,Team,Excellents,Faults,Serve Reception,Total Attempts,Efficiency %
1,4,Thales Hoss,BRA,104,23,231,358,22.63
2,6,Alexandre Ferreira,POR,75,17,195,287,20.21
3,9,Santiago Danani,ARG,89,23,229,341,19.35
4,18,Garrett Muagututia,USA,74,15,228,317,18.61
5,10,Julian Zenger,GER,73,19,222,314,17.2
6,3,Ruben Schott,GER,61,13,208,282,17.02
7,11,Luke Perry,AUS,59,22,148,229,16.16
8,5,Tatsuya Fukuzawa,JPN,50,14,160,224,16.07
9,7,Purya Fayazi D.,IRI,53,10,228,291,14.78
10,12,Lourenco Martins,POR,48,17,153,218,14.22
11,6,Nikola Pekovic,SRB,46,11,191,248,14.11
12,8,Mohammadreza Hazratpourtalatappeh,IRI,56,17,222,295,13.22
13,14,Yuki Ishikawa,JPN,53,19,186,258,13.18
14,6,Rozalin Penchev,BUL,55,17,220,292,13.01
15,17,Libin Liu,CHN,47,15,198,260,12.31
16,13,Samuel Walker,AUS,45,13,208,266,12.03
17,19,Daniele Lavia,ITA,35,9,175,219,11.87
18,15,Luke Smith,AUS,51,21,184,256,11.72
19,5,Lazar Cirovic,SRB,67,30,223,320,11.56
20,27,Valentin Golubev,RUS,55,19,242,316,11.39
21,18,Bartosz Kwolek,POL,61,22,268,351,11.11
22,4,Martin Atanasov,BUL,42,18,167,227,10.57
23,16,Oleg Antonov,ITA,52,22,211,285,10.53
24,2,Milad Ebadipour Ghara H.,IRI,51,19,255,325,9.85
25,7,Facundo Conte,ARG,38,16,202,256,8.59
26,7,Stephen Timothy Maar,CAN,35,15,205,255,7.84
27,4,Nicholas Hoag,CAN,37,22,173,232,6.47
28,22,Oreste Cavuto,ITA,32,19,188,239,5.44
29,18,Ricardo Lucarelli Souza,BRA,30,19,213,262,4.2
30,9,Yoandy Leal Hidalgo,BRA,31,27,283,341,1.17
31,2,Federico Pereyra,ARG,0,0,2,2,
32,3,Jan Martinez Franchi,ARG,15,2,48,65,
33,5,Nicolas Uriarte,ARG,0,0,1,1,
34,6,Cristian Poglajen,ARG,24,9,131,164,
35,8,Agustin Loser,ARG,2,0,2,4,
36,11,Sebastian Solé,ARG,3,0,8,11,
37,13,Ezequiel Palacios,ARG,24,7,122,153,
38,14,Pablo Crer,ARG,0,0,2,2,
39,15,Luciano De Cecco,ARG,0,0,1,1,
40,17,Nicolas Mendez,ARG,21,3,54,78,
41,18,Martin Ramos,ARG,2,0,5,7,
42,1,Beau Graham,AUS,4,0,8,12,
43,2,Arshdeep Dosanjh,AUS,0,1,4,5,
44,8,Trent O'dea,AUS,0,1,5,6,
45,9,Max Staples,AUS,20,13,84,117,
46,10,Jordan Richards,AUS,18,14,109,141,
47,12,Nehemiah Mote,AUS,3,0,7,10,
48,18,Lincoln Alexander Williams,AUS,0,1,1,2,
49,23,James Weir,AUS,1,0,0,1,
50,24,Elliott Viles,AUS,10,5,40,55,
51,1,Bruno Mossa Rezende,BRA,0,1,5,6,
52,2,Isac Santos,BRA,0,0,2,2,
53,3,Eder Carbonera,BRA,0,1,0,1,
54,5,Lucas Eduardo Loh,BRA,1,1,12,14,
55,6,Fernando Gil Kreling,BRA,0,0,1,1,
56,8,Wallace De Souza,BRA,0,0,3,3,
57,13,Mauricio Luiz De Souza,BRA,3,0,7,10,
58,14,Douglas Correia De Souza,BRA,35,19,153,207,
59,16,Lucas Saatkamp,BRA,0,0,3,3,
60,19,Mauricio Borges Almeida Silva,BRA,16,3,45,64,
61,21,Alan Souza,BRA,1,1,0,2,
62,23,Flavio Gualberto,BRA,4,0,6,10,
63,1,Georgi Bratoev,BUL,0,1,0,1,
64,2,Krasimir Georgiev,BUL,0,1,1,2,
65,5,Svetoslav Gotsev,BUL,1,0,2,3,
66,8,Todor Skrimov,BUL,19,10,97,126,
67,9,Georgi Seganov,BUL,0,2,3,5,
68,10,Valentin Bratoev,BUL,0,0,10,10,
69,12,Viktor Yosifov,BUL,0,1,1,2,
70,13,Teodor Salparov,BUL,7,3,22,32,
71,14,Teodor Todorov,BUL,0,0,2,2,
72,16,Vladislav Ivanov,BUL,14,7,56,77,
73,17,Nikolay Penchev,BUL,32,3,79,114,
74,18,Nikolay Nikolov,BUL,0,0,3,3,
75,19,Tsvetan Sokolov,BUL,0,0,1,1,
76,20,Aleks Grozdanov,BUL,0,0,4,4,
77,21,Petar Karakashev,BUL,21,12,96,129,
78,23,Martin Ivanov,BUL,5,3,38,46,
79,26,Plamen Shekerdzhiev,BUL,5,4,14,23,
80,2,John Gordon Perrin,CAN,26,15,118,159,
81,3,Steven Marshall,CAN,24,11,91,126,
82,9,Jason Derocco,CAN,16,5,72,93,
83,10,Sharone Vernon-Evans,CAN,0,0,3,3,
84,11,Daniel Jansen Vandoorn,CAN,0,0,2,2,
85,12,Lucas Van Berkel,CAN,4,2,7,13,
86,14,Eric Loeppky,CAN,1,0,24,25,
87,16,Ryan Joseph Sclater,CAN,0,0,4,4,
88,17,Graham Vigrass,CAN,2,3,2,7,
89,19,Blair Cameron Bann,CAN,33,5,100,138,
90,20,Arthur Szwarc,CAN,0,1,7,8,
91,21,Brett James Walsh,CAN,0,2,3,5,
92,1,Qingyao Dai,CHN,34,30,131,195,
93,2,Chuan Jiang,CHN,0,0,2,2,
94,8,Jingyi Wang,CHN,1,0,1,2,
95,9,Yaochen Yu,CHN,0,2,1,3,
96,10,Daoshuai Ji,CHN,15,9,51,75,
97,11,Haixiang Du,CHN,28,9,138,175,
98,12,Zhejia Zhang,CHN,0,0,1,1,
99,13,Longhai Chen,CHN,0,0,9,9,
100,16,Jiahua Tong,CHN,48,10,114,172,
101,20,Shuhan Rao,CHN,0,3,3,6,
102,25,Jiajie Chen,CHN,4,3,20,27,
103,27,Xiaoteng Ma,CHN,11,7,60,78,
104,1,Jonas Aguenier,FRA,0,0,5,5,
105,2,Jenia Grebennikov,FRA,36,4,117,157,
106,7,Kevin Tillie,FRA,44,13,120,177,
107,8,Julien Lyneel,FRA,27,6,110,143,
108,9,Earvin Ngapeth,FRA,3,2,41,46,
109,10,Kevin Le Roux,FRA,1,3,5,9,
110,12,Stephen Boyer,FRA,0,0,1,1,
111,14,Nicolas Le Goff,FRA,0,0,2,2,
112,17,Trevor Clevenot,FRA,21,6,103,130,
113,18,Thibault Rossard,FRA,26,7,127,160,
114,19,Yacine Louati,FRA,26,5,123,154,
115,20,Nicolas Rossard,FRA,25,7,85,117,
116,21,Barthélémy Chinenyeze,FRA,1,0,4,5,
117,23,Timothée Carle,FRA,1,5,30,36,
118,1,Christian Fromm,GER,32,12,179,223,
119,2,Tobias Krick,GER,0,1,6,7,
120,5,Moritz Reichert,GER,43,16,172,231,
121,7,David Sossenheimer,GER,15,13,89,117,
122,8,Marcus Böhme,GER,0,0,6,6,
123,12,Anton Brehme,GER,3,0,8,11,
124,13,Simon Hirsch,GER,0,0,1,1,
125,15,Noah Baxpöhler,GER,0,0,4,4,
126,17,Jan Zimmermann,GER,0,2,2,4,
127,4,Mir Saeid Marouflakrani,IRI,0,3,7,10,
128,5,Farhad Ghaemi,IRI,9,5,62,76,
129,6,Seyed Mohammad Mousavi Eraghi,IRI,1,0,4,5,
130,10,Amir Ghafour,IRI,0,0,1,1,
131,14,Mohammadjavad Manavinezhad,IRI,14,7,63,84,
132,16,Ali Shafiei,IRI,0,1,4,5,
133,19,Mohammadreza Moazzen,IRI,4,0,5,9,
134,24,Javad Karimisouchelmaei,IRI,0,0,3,3,
135,1,Davide Candellaro,ITA,1,0,2,3,
136,2,Riccardo Sbertoli,ITA,0,0,2,2,
137,6,Simone Giannelli,ITA,0,1,4,5,
138,7,Giacomo Raffaelli,ITA,5,4,22,31,
139,11,Fabio Balaso,ITA,26,10,141,177,
140,12,Fabio Ricci,ITA,0,1,0,1,
141,14,Matteo Piano,ITA,1,0,0,1,
