Rank,Shirt Number,Name,Team,Running Sets,Faults,Still Sets,Total Attempts,Average Per Set
1,4,Mir Saeid Marouflakrani,IRI,529,17,688,1234,8.53
2,21,Brett James Walsh,CAN,443,13,758,1214,7.64
3,6,Simone Giannelli,ITA,358,4,458,820,6.39
4,2,Arshdeep Dosanjh,AUS,308,10,677,995,5.4
5,17,Jan Zimmermann,GER,336,6,699,1041,5.25
6,9,Georgi Seganov,BUL,286,7,604,897,4.85
7,11,Antoine Brizard,FRA,259,5,492,756,4.11
8,12,Masahiro Sekita,JPN,242,8,620,870,4.1
9,24,Igor Kobzar,RUS,275,7,706,988,4.04
10,6,Fernando Gil Kreling,BRA,309,10,554,873,4.01
11,11,Micah Christenson,USA,274,1,467,742,3.81
12,15,Miguel Tavares Rodrigues,POR,197,6,480,683,3.79
13,15,Luciano De Cecco,ARG,210,3,344,557,3.56
14,4,Marcin Komenda,POL,255,3,416,674,3.23
15,5,Nicolas Uriarte,ARG,175,3,348,526,2.97
16,1,Bruno Mossa Rezende,BRA,227,4,391,622,2.95
17,19,Guojun Zhan,CHN,150,10,238,398,2.94
18,21,Vuk Todorovic,SRB,177,4,418,599,2.77
19,9,Yaochen Yu,CHN,139,4,339,482,2.73
20,8,Tiago Da Silva Violas,POR,124,2,336,462,2.38
21,2,Riccardo Sbertoli,ITA,117,2,273,392,2.09
22,1,Georgi Bratoev,BUL,114,1,200,315,1.93
23,14,Micah Ma'a,USA,129,2,256,387,1.79
24,6,Benjamin Toniutti,FRA,110,0,327,437,1.75
25,3,Naonobu Fujii,JPN,99,1,184,284,1.68
26,9,Nikola Jovovic,SRB,107,2,283,392,1.67
27,3,Dmitry Kovalev,RUS,101,2,261,364,1.49
28,19,Marcin Janusz,POL,115,2,294,411,1.46
29,11,Fabian Drzyzga,POL,108,2,137,247,1.37
30,12,Grzegorz Lomacz,POL,108,1,274,383,1.37
31,4,Maximiliano Cavanna,ARG,80,1,191,272,1.36
32,16,Joshua Tuaniga,USA,82,0,137,219,1.14
33,5,Raphaël Corre,FRA,71,3,165,239,1.13
34,7,Kawika Shoji,USA,77,5,121,203,1.07
35,3,Tianyi Mao,CHN,53,1,88,142,1.04
36,16,Tomas Kocian-Falkenbach,GER,65,2,100,167,1.02
37,11,Lukas Kampa,GER,53,1,130,184,0.83
38,7,Harrison Peacock,AUS,41,1,113,155,0.72
39,22,Andrija Vilimanovic,SRB,36,0,121,157,0.56
40,2,Hideomi Fukatsu,JPN,29,1,149,179,0.49
41,11,Aleksa Batak,SRB,29,0,115,144,0.45
42,24,Javad Karimisouchelmaei,IRI,26,2,77,105,0.42
43,1,Tyler Sanders,CAN,22,0,31,53,0.38
